"Age","Experience","Income","Family","CCAvg","Education","Mortgage","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard","Predicted_loan1","Predicted_loan2","predictions"
58,34,149,4,7.2,"Graduate",0,"Yes",0,1,1,1,0.99799706873802,0.997570099163983,"Yes"
30,4,39,3,1.1,"Graduate",0,"No",0,0,1,0,0.00357699522275077,0.00521055996959783,"No"
53,29,98,3,1.8,"Graduate",0,"No",0,0,0,0,0.31523314473895,0.298654136138589,"No"
59,32,49,4,2.5,"Graduate",0,"No",0,0,1,0,0.0230990512801309,0.022392832612025,"No"
49,25,128,2,0.4,"Undergrad",0,"No",0,0,0,0,0.0163218855096627,0.017586525726756,"No"
59,34,42,3,1.5,"Undergrad",0,"No",1,1,0,1,0.00125014907026059,0.00114959562305367,"No"
59,35,18,1,1.2,"Advanced/Professional",0,"No",0,0,1,0,0.000520302238078306,0.000430547025623709,"No"
49,23,70,2,1.5,"Graduate",0,"No",0,0,0,0,0.0360710698580507,0.0385275231434478,"No"
59,35,124,1,7.4,"Undergrad",0,"No",0,0,0,1,0.0118441073135338,0.00919393409176401,"No"
46,19,84,1,2.67,"Graduate",0,"No",0,0,1,1,0.00903735307483018,0.0104365073472459,"No"
52,28,163,2,0.4,"Undergrad",116,"No",0,0,1,0,0.0744608221391945,0.0690287645211375,"No"
48,22,42,3,2.2,"Graduate",0,"No",0,0,0,0,0.0143760582632843,0.0152078435048351,"No"
60,36,22,2,1,"Undergrad",0,"No",1,1,1,1,0.0000945632672302091,0.0000843285789243474,"No"
24,0,60,4,1.6,"Undergrad",0,"No",0,0,1,0,0.000403482991827959,0.000616469125619272,"No"
61,35,41,4,1.7,"Graduate",0,"No",1,0,1,0,0.0039950702459529,0.00354868561095995,"No"
38,12,52,1,2,"Undergrad",0,"No",0,0,0,0,0.000100367502568307,0.000130553160157643,"No"
27,1,43,1,1.5,"Undergrad",0,"No",0,0,1,0,0.0000216252190966799,0.0000343808327999699,"No"
25,1,21,3,1,"Graduate",0,"No",0,0,0,0,0.00250938195655338,0.00346293913571355,"No"
33,9,23,3,0.9,"Advanced/Professional",0,"No",0,0,1,1,0.00052671073320443,0.000634413304669561,"No"
27,1,138,2,2,"Undergrad",0,"No",0,0,1,0,0.0131757112955602,0.0214226858381461,"No"
52,28,11,3,0.4,"Undergrad",0,"No",1,0,0,0,0.00000845394637388174,0.00000810404385609418,"No"
42,17,168,2,7.9,"Graduate",0,"Yes",0,0,1,0,0.958487798144199,0.960551004235437,"Yes"
53,29,24,4,0.2,"Undergrad",0,"No",0,0,1,1,0.0000184484925462454,0.0000182118068380096,"No"
62,37,11,1,0.1,"Undergrad",0,"No",0,0,1,0,0.00000417223785016818,0.00000383178534955069,"No"
51,27,38,2,1,"Advanced/Professional",164,"No",0,0,1,0,0.00338989257428032,0.00256630546394511,"No"
29,3,148,3,4.1,"Undergrad",0,"Yes",0,0,1,0,0.0665464265974604,0.0981695692497439,"No"
64,40,169,2,2.1,"Undergrad",122,"No",0,0,1,0,0.164816226916571,0.127135457724883,"No"
55,29,112,2,1.4,"Undergrad",0,"No",0,0,1,0,0.00373280469390019,0.00404665172862457,"No"
50,23,85,1,2.67,"Graduate",0,"No",0,0,1,0,0.0289138988711178,0.032132117712646,"No"
34,10,13,4,1,"Undergrad",95,"No",1,0,1,0,0.00000836764262430429,0.00000938352578308829,"No"
48,24,165,1,5,"Undergrad",0,"No",0,0,0,1,0.0680447077426092,0.066722226554132,"No"
36,11,158,1,5.1,"Advanced/Professional",0,"Yes",0,1,1,1,0.984027527365177,0.98685740608393,"Yes"
58,34,65,4,2.2,"Undergrad",0,"No",0,0,1,0,0.0010211040099513,0.000931216723433452,"No"
38,12,91,4,1.4,"Graduate",100,"No",0,0,0,1,0.12881830726557,0.138967750215956,"No"
49,25,31,1,1,"Undergrad",0,"No",1,0,1,0,0.00000432755266294008,0.00000443335039465509,"No"
34,10,71,4,0.1,"Graduate",0,"No",0,0,0,0,0.081691188180567,0.100917279294453,"No"
40,16,73,4,2.67,"Undergrad",0,"No",0,0,1,1,0.000481014240988179,0.000556274740192962,"No"
44,18,55,1,0.2,"Undergrad",0,"No",0,0,0,0,0.0000906928169306096,0.000112521176854568,"No"
54,28,94,1,1.9,"Graduate",0,"No",0,0,0,0,0.0913069049655249,0.0908010443929519,"No"
27,3,125,2,0.6,"Undergrad",0,"No",0,0,0,0,0.0103060809795848,0.0152500548386971,"No"
56,30,61,1,2.2,"Advanced/Professional",0,"No",0,0,1,1,0.00254365205720682,0.00235362625396176,"No"
32,6,25,2,0.3,"Undergrad",0,"No",0,0,0,1,0.00000812120245582277,0.0000116158109556337,"No"
47,23,148,2,7.5,"Undergrad",0,"No",0,1,1,1,0.659075202211487,0.66156686711727,"Yes"
35,10,61,4,2.1,"Advanced/Professional",0,"No",0,0,1,0,0.033615657121837,0.0414047629701549,"No"
26,1,80,1,0.8,"Graduate",150,"No",0,0,0,0,0.0284447470968833,0.033787068257392,"No"
38,8,71,4,1.8,"Advanced/Professional",0,"No",0,0,1,0,0.0470245114715728,0.0696739242033578,"No"
62,38,83,1,1.8,"Advanced/Professional",0,"No",0,0,1,0,0.0297421648118378,0.0240151926448202,"No"
28,3,52,4,1.7,"Graduate",0,"No",0,0,0,0,0.0333075669467153,0.0454871289046109,"No"
65,39,170,3,7.9,"Advanced/Professional",99,"Yes",0,1,1,0,0.999732068799711,0.999618670576569,"Yes"
41,17,78,4,0.8,"Undergrad",78,"No",0,0,1,0,0.00144363100410731,0.00158128073117238,"No"
35,11,25,2,1,"Graduate",0,"No",0,0,0,0,0.00200942985422444,0.00239210695472559,"No"
38,14,60,2,0.6,"Advanced/Professional",0,"No",0,0,1,1,0.00266918282034362,0.00304749309300607,"No"
30,6,29,3,1,"Graduate",117,"No",0,0,0,0,0.00511281344323057,0.00560854244174066,"No"
54,28,170,2,6.2,"Graduate",325,"Yes",0,0,1,0,0.970195751846748,0.952648578122603,"Yes"
47,21,138,1,0,"Undergrad",0,"No",0,0,0,0,0.0131887957900717,0.0162377485140678,"No"
66,40,42,2,0.7,"Advanced/Professional",138,"No",0,0,0,1,0.0031814148895933,0.00209938157205727,"No"
35,9,24,4,0.3,"Undergrad",0,"No",0,0,1,0,0.000038024896291461,0.0000549572514683408,"No"
56,30,55,1,1.4,"Undergrad",77,"No",0,0,1,0,0.0000744411920098549,0.0000697981664906699,"No"
51,27,58,1,0,"Undergrad",0,"No",0,0,0,1,0.0000438433794314859,0.0000439020975655202,"No"
42,16,111,2,1.2,"Advanced/Professional",251,"Yes",0,0,1,0,0.203747565753287,0.181454740568686,"No"
49,23,33,1,0.3,"Advanced/Professional",0,"No",0,1,1,1,0.0142573237311693,0.0158327682178654,"No"
27,1,74,4,1.8,"Graduate",112,"No",0,0,1,1,0.0235296230254288,0.0299605293376509,"No"
45,19,38,2,0.7,"Undergrad",0,"No",0,0,0,0,0.0000676991422352444,0.0000813613494843905,"No"
60,36,63,4,2.2,"Undergrad",0,"No",0,0,1,0,0.000932810743572548,0.000825109492554265,"No"
41,16,65,3,0.5,"Advanced/Professional",0,"No",0,0,1,0,0.0185187364019758,0.0217389153016007,"No"
49,24,50,4,1.8,"Advanced/Professional",0,"No",1,0,0,0,0.0127300558452832,0.0121831387264698,"No"
30,5,22,4,0.5,"Advanced/Professional",109,"No",0,0,1,0,0.00257680537720775,0.0030281905566513,"No"
29,2,30,4,1,"Advanced/Professional",0,"No",0,0,0,0,0.00736320785132429,0.010740650875362,"No"
50,26,21,4,1,"Undergrad",0,"No",0,0,1,0,0.0000503279984562995,0.0000521110809759179,"No"
39,14,155,2,3.9,"Undergrad",0,"No",0,0,1,0,0.0643027856085753,0.0798915137912636,"No"
33,8,64,4,2.1,"Advanced/Professional",164,"No",0,0,1,0,0.0481155284013788,0.0492449429152913,"No"
57,31,65,4,2.6,"Advanced/Professional",0,"No",0,0,0,1,0.0443081968786621,0.0392948433217222,"No"
61,36,40,3,0.5,"Graduate",0,"No",1,0,1,0,0.0016740614616706,0.00145465277840297,"No"
40,13,69,3,2.33,"Graduate",0,"No",0,0,0,0,0.0604545116709867,0.0750103238871532,"No"
37,12,62,3,0.7,"Graduate",0,"No",0,0,0,1,0.0108288004364083,0.0131097210994587,"No"
44,19,172,2,4.3,"Advanced/Professional",391,"Yes",1,1,1,0,0.997318511927799,0.99588367406863,"Yes"
42,15,24,3,1,"Graduate",0,"No",0,0,1,1,0.000561524350392365,0.000699474084930271,"No"
43,16,8,3,0.67,"Graduate",88,"No",0,0,1,0,0.00066447551588612,0.000740445918737688,"No"
30,5,38,4,0.8,"Undergrad",129,"No",0,0,1,1,0.0000391428755120157,0.0000474515546648221,"No"
35,9,55,1,2,"Undergrad",0,"No",0,0,1,0,0.0000555349836738532,0.0000779208098556767,"No"
34,9,122,1,0,"Undergrad",0,"No",0,0,1,0,0.00212720720827913,0.00310861048939209,"No"
55,25,70,3,1.4,"Advanced/Professional",0,"No",0,0,1,0,0.0290114815146795,0.0342629464961952,"No"
41,15,159,1,5.5,"Advanced/Professional",0,"Yes",0,1,1,0,0.9952949942443,0.99608406377843,"Yes"
34,9,70,4,1.3,"Undergrad",0,"No",1,0,0,0,0.000475229969526275,0.000627653415943527,"No"
65,39,150,2,6.9,"Undergrad",196,"No",0,0,0,0,0.263732205090504,0.182679683372856,"No"
49,25,195,4,3,"Undergrad",617,"Yes",0,0,0,0,0.92602096305787,0.850281016307258,"Yes"
48,23,22,1,0.1,"Undergrad",0,"No",0,0,0,0,0.000013591429024887,0.0000149847761215797,"No"
60,35,22,1,1.3,"Undergrad",123,"No",0,0,1,0,0.0000118761292335172,0.0000092948828941171,"No"
62,38,91,1,3.8,"Undergrad",0,"No",1,0,1,0,0.000344265755179,0.00028009069910406,"No"
52,26,121,1,7.3,"Undergrad",167,"No",0,0,1,0,0.0139338963783186,0.0110792858213794,"No"
36,6,21,1,0.67,"Advanced/Professional",0,"No",1,0,1,0,0.0000898730926446596,0.000136946185652096,"No"
34,9,41,3,2.3,"Undergrad",0,"No",0,0,0,1,0.0000638464345840954,0.0000815416467259226,"No"
24,-2,51,3,0.3,"Advanced/Professional",0,"No",0,0,1,0,0.00575220931326831,0.00909453546289018,"No"
40,16,119,2,4.2,"Graduate",0,"Yes",0,0,1,0,0.365557512183405,0.388665911287268,"No"
65,39,20,3,0.7,"Graduate",0,"No",0,0,0,1,0.00126620273049823,0.00104370953713658,"No"
63,39,101,1,3.9,"Undergrad",0,"Yes",1,1,1,0,0.0315814011584513,0.0267827159970074,"No"
60,35,49,3,0.5,"Graduate",0,"No",0,0,1,1,0.00325785523709125,0.00289260827771435,"No"
28,4,191,1,6.33,"Undergrad",0,"No",0,0,1,0,0.322754330593355,0.3937332539025,"No"
63,38,140,1,2.5,"Undergrad",0,"No",0,0,0,0,0.0324400391496366,0.0286303210705493,"No"
31,6,55,4,2,"Graduate",185,"No",0,0,1,0,0.027722500324601,0.0291741207030407,"No"
35,5,22,1,0.67,"Advanced/Professional",103,"No",0,0,0,0,0.000746727971933991,0.000999410554901166,"No"
40,15,173,4,6.6,"Undergrad",0,"Yes",0,1,1,1,0.95474477844958,0.962494253380749,"Yes"
26,2,60,2,3,"Undergrad",132,"Yes",0,0,0,0,0.000404300564155933,0.000469862504568154,"No"
39,14,113,1,1,"Advanced/Professional",0,"No",1,0,1,0,0.0310764799820092,0.0367754625440408,"No"
32,6,32,1,1.9,"Advanced/Professional",0,"No",0,0,1,0,0.000849972041587328,0.00114180093612772,"No"
35,10,55,4,1.3,"Undergrad",0,"No",0,0,0,0,0.000653070446622403,0.00086590036817198,"No"
54,24,29,3,1,"Advanced/Professional",148,"No",0,0,0,1,0.00201066981764266,0.00186464784838642,"No"
32,8,98,2,2,"Graduate",175,"No",0,0,1,0,0.104546085512832,0.1064086338012,"No"
63,37,30,2,1,"Advanced/Professional",159,"No",0,0,1,0,0.00226761206151677,0.00158268758080989,"No"
58,34,19,4,0.7,"Undergrad",0,"No",0,0,0,0,0.0000978026510523228,0.0000877925257028131,"No"
49,25,20,4,1,"Undergrad",111,"No",0,0,1,1,0.0000187449411274677,0.0000165551748510734,"No"
47,23,38,2,2.1,"Advanced/Professional",0,"No",0,0,0,0,0.00661494795175893,0.00628604615067347,"No"
55,29,73,2,2.3,"Advanced/Professional",0,"No",0,0,1,1,0.00963348043736034,0.00909027292064992,"No"
65,41,133,4,2,"Undergrad",0,"Yes",0,0,0,1,0.0443039621869381,0.0360406390023649,"No"
51,25,21,4,0.6,"Advanced/Professional",0,"No",0,0,1,1,0.000962435643501175,0.000981817550826844,"No"
30,5,41,4,1.7,"Graduate",0,"No",0,0,1,0,0.00877262312331191,0.0120390600655595,"No"
31,5,82,4,1.8,"Graduate",0,"No",0,0,1,0,0.0932974326739209,0.129323440571179,"No"
54,30,100,4,3.4,"Advanced/Professional",0,"Yes",0,0,0,0,0.576978493767986,0.538754068049618,"Yes"
50,24,29,4,0.1,"Undergrad",0,"No",0,0,0,0,0.00012747868858037,0.00014406107785701,"No"
26,2,48,3,0.7,"Graduate",0,"No",0,0,1,0,0.00584251891044811,0.00832304065075915,"No"
36,10,179,3,6.6,"Undergrad",0,"Yes",0,0,1,0,0.460466931560172,0.529407419505304,"Yes"
54,28,93,1,4.9,"Undergrad",133,"No",0,1,1,1,0.0265140521676637,0.0229834930163283,"No"
55,30,39,2,1.9,"Graduate",0,"No",0,0,0,0,0.00716963206387019,0.00655812626374994,"No"
49,22,82,1,2.67,"Graduate",125,"No",0,0,1,0,0.0282159063685477,0.0269392359292389,"No"
60,36,54,4,2.3,"Advanced/Professional",0,"No",1,0,0,0,0.0219390935646048,0.0169309578305355,"No"
45,20,89,4,1.9,"Advanced/Professional",0,"No",0,0,1,0,0.172493003689137,0.18488113561019,"No"
40,15,85,2,0.4,"Undergrad",0,"No",0,0,1,0,0.000504281236797553,0.000659144399330935,"No"
53,29,83,4,1,"Graduate",0,"No",0,0,1,0,0.123652212548703,0.119918287792572,"No"
58,33,50,4,2.1,"Undergrad",0,"No",0,0,0,1,0.000277045546451691,0.00025020946227704,"No"
28,3,115,4,3.1,"Graduate",0,"Yes",0,0,0,0,0.669851857120208,0.736372772156777,"Yes"
43,19,161,2,7.5,"Undergrad",0,"No",0,0,0,0,0.3226872022106,0.326897353737761,"No"
37,13,78,4,0.1,"Graduate",0,"No",0,0,1,0,0.0640503076262514,0.0786342528673516,"No"
43,17,91,1,5.7,"Undergrad",0,"No",0,0,1,0,0.00116568804306441,0.00135668758805364,"No"
52,28,31,4,0.2,"Undergrad",141,"No",0,0,1,1,0.0000335393553314649,0.0000278225819697116,"No"
52,26,80,3,0.8,"Undergrad",0,"No",0,0,0,0,0.00176232836477278,0.00194165002929926,"No"
61,35,50,3,1.4,"Advanced/Professional",112,"No",0,0,1,0,0.0135992285846041,0.0104603438722517,"No"
36,9,31,4,1,"Graduate",0,"No",1,0,1,0,0.0012514837082954,0.00170671601406236,"No"
47,23,29,4,0.6,"Undergrad",0,"No",0,0,1,0,0.0000717003196693319,0.0000785931124866108,"No"
52,27,43,1,1.3,"Graduate",0,"No",1,0,1,0,0.000609263115567555,0.00059314362058751,"No"
58,28,122,1,3,"Advanced/Professional",115,"Yes",0,0,1,0,0.254000302338892,0.245367876947948,"No"
64,40,91,2,0,"Advanced/Professional",0,"No",0,0,1,1,0.0219403785570244,0.0175722806934982,"No"
58,32,65,3,2.2,"Advanced/Professional",0,"No",0,0,1,0,0.0318473280745027,0.029462230228406,"No"
31,4,60,4,2,"Graduate",0,"No",0,0,1,1,0.00932323245014359,0.013541888789986,"No"
54,28,53,4,2.8,"Graduate",0,"No",1,0,0,0,0.0189464844673244,0.0177837060791847,"No"
30,4,60,4,2.2,"Graduate",0,"No",0,0,1,0,0.0284987837508431,0.0404863395863687,"No"
60,36,141,2,2.1,"Undergrad",0,"No",0,0,1,1,0.0100003949296659,0.00894344623249492,"No"
43,19,83,4,3.6,"Advanced/Professional",0,"Yes",0,0,0,1,0.130400741567873,0.127488915645199,"No"
25,0,13,2,0.9,"Advanced/Professional",0,"No",0,0,1,0,0.00038453463040539,0.000555773365174214,"No"
34,10,21,1,0.5,"Advanced/Professional",0,"No",0,0,1,0,0.000372191745860056,0.000454052988925731,"No"
60,34,114,2,6.9,"Undergrad",0,"No",0,0,1,0,0.0139351533163463,0.0124250394721706,"No"
43,19,152,3,6.1,"Graduate",0,"Yes",0,0,0,0,0.961124398089434,0.961003485263051,"Yes"
60,36,132,2,6,"Undergrad",470,"No",0,0,1,1,0.0242848776015323,0.0105908983871841,"No"
29,5,30,3,1,"Graduate",0,"No",0,0,0,0,0.00456494659878366,0.00595649348776881,"No"
55,30,84,2,3.7,"Undergrad",304,"No",1,0,1,0,0.0005307070427252,0.00033232261500589,"No"
42,18,34,4,0.3,"Undergrad",104,"No",1,0,1,0,0.0000291832567304671,0.0000294253241334474,"No"
50,24,173,1,1,"Undergrad",0,"No",0,0,1,1,0.0229346328248292,0.0269735183955237,"No"
41,17,160,2,8,"Undergrad",0,"No",0,0,1,0,0.189092196287475,0.199597568511524,"No"
25,0,44,4,0.6,"Graduate",0,"No",0,0,1,1,0.00270071864519722,0.00401428001430994,"No"
50,24,83,2,0.4,"Advanced/Professional",0,"No",0,0,1,0,0.0312596426845851,0.0339455101082928,"No"
48,22,94,4,2.6,"Advanced/Professional",0,"No",0,0,1,0,0.244978374764025,0.258750471307924,"No"
50,25,42,3,1.7,"Graduate",0,"No",0,0,1,0,0.0068147768234742,0.00696321011219295,"No"
59,33,34,2,0.3,"Undergrad",0,"No",0,0,0,0,0.0000603486272504338,0.0000593446783961234,"No"
64,40,32,3,0.1,"Advanced/Professional",0,"No",0,0,1,0,0.00351209659872337,0.00279277311685673,"No"
51,26,62,1,1.3,"Graduate",221,"No",0,0,1,0,0.00841092141141228,0.00637444034977537,"No"
31,5,82,4,2.2,"Graduate",0,"No",0,0,0,0,0.187862623054057,0.243093224541553,"No"
27,1,74,3,0.3,"Advanced/Professional",0,"No",0,0,1,0,0.0235402513114374,0.0356226569909546,"No"
41,16,113,1,1,"Advanced/Professional",211,"No",0,0,0,1,0.0949946973149569,0.0813810040494532,"No"
28,4,34,1,1.8,"Graduate",0,"No",0,0,1,0,0.000962195100728222,0.00128916626854304,"No"
34,9,48,1,2.5,"Advanced/Professional",105,"No",0,0,1,0,0.00312672148352077,0.00335061381345268,"No"
24,-1,75,4,0.2,"Undergrad",0,"No",0,0,1,0,0.00071071770320814,0.00118165811944678,"No"
33,8,65,2,0.1,"Undergrad",89,"No",0,0,1,0,0.000144968193570369,0.00018596302953735,"No"
64,39,122,4,0.2,"Undergrad",378,"Yes",0,0,1,0,0.0350633666894266,0.0199529421274316,"No"
54,30,21,2,0.2,"Undergrad",0,"No",0,0,0,1,0.00000952429179002669,0.00000895181818338796,"No"
32,6,50,4,2.1,"Advanced/Professional",0,"No",1,1,1,1,0.07829143562215,0.103323749586379,"No"
27,2,101,1,1.9,"Undergrad",0,"No",0,0,0,0,0.00166196221195853,0.00248390601110085,"No"
31,5,11,1,0.4,"Graduate",76,"No",0,0,0,1,0.000136619743074578,0.000168196578528522,"No"
57,32,21,1,0.3,"Advanced/Professional",117,"No",0,0,0,0,0.00116323772628255,0.000879060832142745,"No"
30,6,141,2,4.33,"Undergrad",0,"No",0,0,0,0,0.0578747203344041,0.0748317510264942,"No"
35,10,164,2,7.8,"Undergrad",0,"No",0,0,1,0,0.198989532255262,0.234451291426308,"No"
43,19,28,4,0.3,"Undergrad",87,"No",0,0,0,0,0.000139366946250538,0.000140667295670448,"No"
44,14,44,3,2,"Advanced/Professional",180,"No",1,1,1,1,0.0383072290516191,0.0408710186763281,"No"
49,23,61,1,1.4,"Advanced/Professional",0,"No",0,0,1,1,0.001945330706872,0.00203294882432855,"No"
60,34,54,3,0.3,"Graduate",0,"No",0,0,1,1,0.00402618002861338,0.00377079190535479,"No"
59,34,14,1,0.1,"Undergrad",0,"No",0,0,1,1,0.00000164962079294459,0.00000155081867385226,"No"
28,3,52,4,2.2,"Undergrad",230,"No",0,0,1,0,0.0003908283827727,0.000424098434220028,"No"
60,34,21,3,0.3,"Advanced/Professional",129,"No",0,0,1,0,0.00193502094891863,0.00149046208443915,"No"
30,5,38,4,2,"Graduate",0,"No",1,0,0,0,0.00485386481281193,0.00626534734147748,"No"
63,33,41,4,1.67,"Advanced/Professional",0,"No",0,0,1,0,0.0113419045283772,0.0117533419800837,"No"
51,27,12,4,1,"Undergrad",0,"No",0,0,1,0,0.000029737404029523,0.0000302207831530071,"No"
53,28,175,3,3.6,"Advanced/Professional",0,"Yes",0,1,1,1,0.998184355731572,0.99816522060833,"Yes"
29,5,80,2,2,"Graduate",0,"No",0,0,1,1,0.0101904137470281,0.0133358409340476,"No"
54,30,93,1,2.7,"Graduate",0,"No",0,0,1,0,0.055879958837937,0.0513972093509331,"No"
25,-1,48,3,0.3,"Advanced/Professional",0,"No",0,0,0,1,0.00349147572695638,0.00516342333987338,"No"
52,28,149,2,6.8,"Undergrad",0,"No",0,0,1,0,0.099658487707575,0.0932189409437882,"No"
44,18,72,1,0.7,"Advanced/Professional",155,"No",0,0,0,0,0.0219803834750747,0.0203366004530433,"No"
24,-1,38,2,1.7,"Graduate",0,"No",0,0,1,0,0.00198515287722152,0.00297221017235415,"No"
40,16,114,1,3.4,"Undergrad",300,"No",0,0,1,0,0.00455374802644218,0.00357242523522402,"No"
39,14,101,2,0.4,"Undergrad",0,"No",0,0,1,1,0.000448750643648951,0.000586105303023565,"No"
31,7,128,1,6,"Undergrad",0,"No",0,0,0,0,0.0213711936338517,0.026377252268342,"No"
30,5,51,1,1,"Undergrad",0,"No",0,0,1,0,0.0000345759299007358,0.0000509103746105197,"No"
50,26,85,1,0,"Undergrad",144,"No",0,0,0,0,0.000771017793302889,0.000666554222462301,"No"
24,-2,125,2,7.2,"Undergrad",0,"No",1,0,0,1,0.00364095643657001,0.00510159983511973,"No"
28,4,103,2,2.5,"Undergrad",0,"No",0,0,1,1,0.000694059927616995,0.000972161823229987,"No"
58,32,38,1,1.4,"Undergrad",0,"No",0,0,1,1,0.00000857966043808742,0.00000841737113731038,"No"
29,5,135,2,0.6,"Undergrad",0,"No",0,0,0,0,0.0191932479578101,0.0275881272400304,"No"
28,3,70,4,2.2,"Undergrad",240,"No",0,0,0,1,0.00083500974207363,0.000854796822155313,"No"
