Rowid,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,online_booking,mobile_site_booking,from_date_DOW,from_date_Hour,booking_created_DOW,trip_length,Car_Cancellation
23,12,0,2,393,217,0,0,1,0,Thursday,11,Thursday,23.87058094,0
24,12,2,3,217,0,0,0,0,0,Wednesday,14,Wednesday,0,0
25,12,0,2,344,585,0,0,1,0,Wednesday,16,Wednesday,11.1299601,0
26,12,2,3,1053,0,0,0,0,0,Wednesday,11,Wednesday,0,0
27,85,0,2,1301,393,0,0,0,0,Wednesday,17,Wednesday,30.46350422,0
28,28,0,2,1223,585,0,0,0,0,Wednesday,21,Wednesday,4.401346839,0
29,12,0,2,58,1069,0,0,0,0,Wednesday,12,Wednesday,8.118456203,0
30,12,1,3,293,0,0,0,1,0,Wednesday,17,Wednesday,0,0
31,12,0,2,1194,409,0,0,0,0,Wednesday,13,Wednesday,9.084726303,0
32,12,0,2,353,393,0,0,1,0,Wednesday,20,Wednesday,21.96956647,0
33,85,0,2,393,1056,0,0,1,0,Wednesday,19,Wednesday,32.95439082,0
34,12,0,2,1068,105,0,0,1,0,Wednesday,17,Wednesday,5.078343385,0
35,12,0,2,479,393,0,0,0,0,Thursday,5,Thursday,22.32706251,0
36,12,0,2,1084,112,0,0,0,0,Wednesday,23,Wednesday,4.816863247,0
37,12,0,2,393,1237,0,0,0,0,Wednesday,21,Wednesday,32.09416164,0
38,12,0,2,293,292,0,0,0,0,Wednesday,19,Wednesday,10.67049482,0
39,12,0,2,352,393,0,0,0,0,Thursday,4,Thursday,20.33925573,0
40,12,0,2,393,171,0,0,0,0,Wednesday,22,Wednesday,24.41400077,0
41,12,0,2,585,458,0,0,0,0,Wednesday,21,Wednesday,16.99137841,0
42,12,0,2,849,1312,0,0,1,0,Thursday,8,Thursday,14.18382748,0
43,12,0,2,392,297,0,0,1,0,Wednesday,22,Wednesday,13.11975714,0
44,12,0,2,156,585,0,0,0,0,Thursday,6,Thursday,15.00874386,0
45,12,0,2,1192,968,0,0,0,0,Thursday,6,Thursday,5.188187067,0
46,85,0,2,585,112,0,0,0,0,Thursday,9,Thursday,4.882123711,0
47,12,0,2,572,793,0,0,0,0,Thursday,12,Thursday,11.74198088,0
48,12,1,3,767,0,0,0,1,0,Saturday,14,Saturday,0,0
49,85,0,2,410,393,0,0,0,0,Friday,8,Friday,24.40518188,0
50,65,0,2,450,393,0,0,1,0,Saturday,7,Saturday,30.88368286,0
51,12,0,2,1085,393,0,0,1,0,Friday,4,Friday,32.57424888,0
52,12,0,2,1388,1390,0,0,1,0,Thursday,18,Thursday,7.630529769,0
53,12,0,2,585,767,0,0,0,0,Thursday,22,Thursday,9.864367381,0
54,12,0,2,1183,393,0,0,0,0,Friday,8,Friday,26.377495,0
55,12,0,2,572,708,0,0,0,0,Friday,6,Friday,12.98014546,0
56,12,0,2,849,393,0,0,0,0,Saturday,6,Saturday,29.62562956,0
57,12,0,2,83,393,0,0,0,0,Friday,4,Friday,30.88713979,0
58,12,0,2,1166,1096,0,0,0,0,Friday,12,Friday,6.471854351,0
59,12,0,2,667,585,0,0,0,0,Friday,14,Friday,6.483866031,0
60,12,0,2,393,1136,0,0,1,0,Friday,16,Friday,23.29359177,0
61,24,2,3,1191,0,0,0,0,0,Friday,12,Friday,0,0
62,65,0,1,293,0,15,32,0,0,Saturday,7,Saturday,0,0
63,12,2,3,145,0,0,0,0,0,Friday,15,Friday,0,0
64,85,0,2,1384,1298,0,0,0,0,Monday,6,Monday,19.8118742,0
65,12,0,2,1095,1371,0,0,0,0,Saturday,12,Saturday,8.494613438,0
66,85,0,2,293,393,0,0,0,0,Saturday,6,Saturday,39.25760818,0
67,12,0,2,83,849,0,0,0,0,Friday,19,Friday,8.460932583,0
68,12,0,2,571,136,0,0,0,0,Friday,22,Friday,9.235949983,0
69,12,0,2,852,1078,0,0,0,0,Friday,18,Friday,2.593749603,0
70,12,0,2,271,455,0,0,0,0,Friday,22,Friday,6.311432298,0
71,12,0,2,1217,410,0,0,1,0,Saturday,16,Saturday,3.188347617,0
72,28,0,2,768,393,0,0,0,0,Saturday,5,Saturday,28.66125311,0
73,12,0,2,1044,393,0,0,1,0,Saturday,3,Saturday,26.55903841,0
74,28,2,3,115,0,0,0,1,0,Sunday,1,Sunday,0,0
75,12,0,2,393,1033,0,0,1,0,Monday,8,Monday,34.65244668,0
76,12,0,2,293,1166,0,0,1,0,Saturday,12,Saturday,16.45801359,0
77,12,0,2,1384,839,0,0,0,0,Sunday,6,Sunday,32.25588873,0
78,12,1,3,89,0,0,0,0,0,Saturday,10,Saturday,0,0
79,12,1,3,1170,0,0,0,1,0,Saturday,12,Saturday,0,0
80,12,0,2,974,393,0,0,1,0,Sunday,4,Sunday,21.15103614,0
81,28,0,2,585,767,0,0,1,0,Sunday,11,Sunday,9.864367381,0
82,12,0,2,352,168,0,0,0,0,Sunday,5,Sunday,5.560965546,0
83,12,0,2,1056,625,0,0,0,0,Saturday,15,Saturday,6.338237254,0
84,12,2,3,293,0,0,0,0,0,Saturday,15,Saturday,0,0
85,12,0,2,363,393,0,0,0,0,Monday,4,Monday,23.03287702,0
86,85,0,2,393,363,0,0,0,0,Friday,22,Friday,23.03287702,0
87,12,0,2,814,570,0,0,1,0,Saturday,16,Saturday,11.77016751,0
88,12,0,2,784,393,0,0,0,0,Sunday,4,Sunday,28.12651928,0
89,12,0,2,849,601,0,0,0,0,Saturday,23,Saturday,8.658059568,0
90,12,0,2,393,515,0,0,1,0,Saturday,23,Saturday,24.82318074,0
91,85,0,2,571,667,0,0,0,0,Saturday,18,Saturday,20.00244294,0
92,12,0,2,1383,567,0,0,0,0,Sunday,8,Sunday,9.347945148,0
93,12,0,2,142,567,0,0,1,0,Sunday,8,Sunday,5.019041446,0
94,12,0,2,218,271,0,0,0,0,Sunday,10,Sunday,5.780184605,0
95,12,0,2,393,1371,0,0,0,0,Sunday,10,Sunday,22.43902939,0
96,12,0,2,1086,852,0,0,0,0,Sunday,0,Sunday,10.02119198,0
97,12,0,2,603,83,0,0,0,0,Saturday,23,Saturday,8.677827439,0
98,12,0,1,344,0,15,160,0,0,Sunday,7,Sunday,0,0
99,65,0,2,452,393,0,0,0,0,Sunday,12,Sunday,30.21411815,0
100,12,0,2,1038,393,0,0,0,0,Sunday,13,Sunday,25.44902353,0
101,12,0,2,1111,1349,0,0,0,0,Sunday,8,Sunday,10.33829885,0
102,12,0,2,393,542,0,0,0,0,Monday,5,Monday,30.48348967,0
103,12,2,3,58,0,0,0,1,0,Sunday,12,Sunday,0,0
104,12,1,3,450,0,0,0,0,0,Sunday,12,Sunday,0,0
105,12,0,2,433,1084,0,0,0,0,Sunday,16,Sunday,2.779417754,0
106,85,0,2,393,793,0,0,0,0,Sunday,21,Sunday,23.15856185,0
107,12,0,2,561,393,0,0,0,0,Monday,19,Monday,22.71913228,0
108,12,0,2,448,1192,0,0,0,0,Sunday,18,Sunday,8.780076862,0
109,28,2,3,112,0,0,0,0,0,Sunday,15,Sunday,0,0
110,23,0,2,1379,393,0,0,1,0,Sunday,17,Sunday,29.55273201,0
111,85,0,2,1181,393,0,0,0,0,Sunday,17,Sunday,24.82318074,0
112,12,0,2,1056,1021,0,0,0,0,Sunday,18,Sunday,13.96136272,0
113,12,0,2,393,949,0,0,1,0,Monday,4,Monday,26.07663015,0
114,12,0,2,689,601,0,0,0,0,Sunday,18,Sunday,10.47926695,0
115,12,0,2,1189,1384,0,0,1,0,Monday,8,Monday,14.3150919,0
116,12,0,2,1059,393,0,0,0,0,Monday,6,Monday,33.39241878,0
117,12,0,2,1084,1384,0,0,0,0,Monday,9,Monday,15.61103053,0
118,12,0,2,1333,393,0,0,0,0,Wednesday,6,Wednesday,35.67911305,0
119,12,0,2,601,681,0,0,0,0,Monday,8,Monday,20.97475012,0
120,12,0,2,1017,1334,0,0,1,0,Monday,10,Monday,6.706108348,0
121,12,0,2,571,168,0,0,0,0,Monday,12,Monday,11.59549971,0
122,12,0,2,339,392,0,0,0,0,Monday,9,Monday,12.93000719,0
123,12,0,2,297,1389,0,0,1,0,Monday,10,Monday,9.615398246,0
124,65,0,2,410,393,0,0,0,0,Tuesday,15,Tuesday,24.40518188,0
125,12,0,2,846,585,0,0,0,0,Monday,15,Monday,1.470231191,0
126,12,0,2,393,1096,0,0,1,0,Wednesday,11,Wednesday,26.12482742,0
127,12,0,2,1063,156,0,0,0,0,Monday,12,Monday,14.13938252,0
128,12,0,2,83,529,0,0,0,0,Monday,16,Monday,6.546652253,0
129,12,1,3,1054,0,0,0,1,0,Monday,16,Monday,0,0
130,85,0,2,561,393,0,0,0,0,Monday,17,Monday,22.71913228,0
131,12,0,2,1373,393,0,0,0,0,Monday,15,Monday,22.5995923,0
132,12,0,2,293,83,0,0,0,0,Monday,15,Monday,8.370505709,0
133,12,0,2,220,393,0,0,1,0,Tuesday,3,Tuesday,24.4135388,0
134,12,0,2,625,758,0,0,0,0,Monday,16,Monday,7.193846249,0
135,12,0,2,393,1096,0,0,0,0,Monday,22,Monday,26.12482742,0
136,28,0,2,83,393,0,0,0,0,Monday,17,Monday,30.88713979,0
137,12,2,3,1298,0,0,0,0,0,Tuesday,9,Tuesday,0,0
138,85,0,2,243,1059,0,0,0,0,Monday,21,Monday,38.23101909,0
139,85,0,2,105,1068,0,0,1,0,Tuesday,10,Tuesday,5.078343385,0
140,12,1,3,293,0,0,0,1,0,Monday,18,Monday,0,0
141,54,0,2,357,463,0,0,0,0,Monday,18,Monday,10.73509287,0
142,28,0,2,1045,585,0,0,1,0,Monday,21,Monday,4.441535827,0
143,12,0,2,393,1261,0,0,0,0,Tuesday,19,Tuesday,27.7746556,0
144,12,0,2,25,1108,0,0,0,0,Monday,21,Monday,8.554421516,0
145,12,0,2,184,1384,0,0,1,0,Friday,6,Friday,7.991097805,0
146,65,2,3,1010,0,0,0,0,0,Tuesday,10,Tuesday,0,0
147,12,1,3,849,0,0,0,1,0,Tuesday,7,Tuesday,0,0
148,12,0,2,1096,455,0,0,0,0,Tuesday,18,Tuesday,5.905976935,0
149,12,0,2,433,1384,0,0,0,0,Tuesday,5,Tuesday,14.0965092,0
150,12,0,2,1010,58,0,0,0,0,Tuesday,8,Tuesday,18.23223563,0
151,12,0,2,768,393,0,0,1,0,Wednesday,9,Wednesday,28.66125311,0
152,28,0,2,1061,393,0,0,0,0,Tuesday,16,Tuesday,34.16903806,0
153,12,0,2,1281,186,0,0,0,0,Wednesday,5,Wednesday,17.84749344,0
154,12,1,3,83,0,0,0,0,0,Tuesday,16,Tuesday,0,0
155,65,2,3,1294,0,0,0,0,0,Thursday,9,Thursday,0,0
156,12,0,2,253,793,0,0,0,0,Tuesday,17,Tuesday,5.555265309,0
157,12,0,2,1165,1175,0,0,0,0,Tuesday,18,Tuesday,5.466906019,0
158,12,0,2,1034,463,0,0,0,0,Saturday,1,Saturday,9.908590741,0
159,85,0,2,393,308,0,0,0,0,Thursday,0,Thursday,23.29359177,0
160,12,0,2,1122,1021,0,0,0,0,Tuesday,22,Tuesday,16.83193945,0
161,12,0,2,1077,197,0,0,0,0,Tuesday,21,Tuesday,9.719861799,0
162,12,2,3,846,0,0,0,1,0,Wednesday,9,Wednesday,0,0
163,12,1,3,601,0,0,0,0,0,Wednesday,8,Wednesday,0,0
164,12,0,2,112,393,0,0,1,0,Wednesday,8,Wednesday,33.31149792,0
165,12,0,2,1375,393,0,0,0,0,Wednesday,6,Wednesday,30.72646428,0
166,12,0,2,150,393,0,0,0,0,Wednesday,6,Wednesday,35.2350005,0
167,12,0,2,219,1154,0,0,0,0,Wednesday,6,Wednesday,11.6704718,0
168,12,1,3,1169,0,0,0,0,0,Wednesday,8,Wednesday,0,0
169,85,0,2,1147,393,0,0,0,0,Wednesday,12,Wednesday,19.82008445,0
170,12,1,3,1083,0,0,0,0,0,Wednesday,10,Wednesday,0,0
171,24,0,2,149,1096,0,0,0,0,Wednesday,11,Wednesday,17.67619865,0
172,12,0,2,1021,358,0,0,0,0,Wednesday,16,Wednesday,14.28534967,0
173,12,1,3,450,0,0,0,0,0,Wednesday,13,Wednesday,0,0
174,12,0,2,1232,393,0,0,1,0,Thursday,4,Thursday,36.16835913,0
175,12,0,2,1192,393,0,0,0,0,Thursday,5,Thursday,28.75331927,0
176,12,0,2,789,677,0,0,0,0,Wednesday,15,Wednesday,11.32875609,1
177,12,0,2,1068,1244,0,0,1,0,Wednesday,19,Wednesday,12.46038302,0
178,85,0,2,1192,571,0,0,0,0,Thursday,7,Thursday,13.70509547,0
179,12,2,3,330,0,0,0,0,0,Thursday,6,Thursday,0,0
180,12,0,2,1230,149,0,0,0,0,Wednesday,21,Wednesday,10.92266858,0
181,12,0,2,1330,393,0,0,0,0,Friday,4,Friday,27.39868473,0
182,12,0,2,168,1388,0,0,1,0,Thursday,19,Thursday,8.193300857,0
183,28,0,2,271,585,0,0,1,0,Friday,5,Friday,7.723267802,0
184,12,0,2,767,1234,0,0,1,0,Thursday,11,Thursday,11.33458449,0
185,12,0,2,529,83,0,0,0,0,Thursday,8,Thursday,6.546652253,0
186,28,0,2,393,625,0,0,1,0,Thursday,18,Thursday,27.86814301,0
187,12,2,3,572,0,0,0,0,0,Thursday,9,Thursday,0,0
188,85,0,2,1010,832,0,0,0,0,Thursday,5,Thursday,14.83099474,0
189,12,2,3,784,0,0,0,0,0,Thursday,10,Thursday,0,0
190,12,0,2,293,448,0,0,0,0,Thursday,14,Thursday,9.162146556,0
191,85,0,2,1354,393,0,0,0,0,Thursday,15,Thursday,34.34434729,0
192,85,0,2,393,949,0,0,0,0,Saturday,23,Saturday,26.07663015,0
193,12,0,2,89,393,0,0,0,0,Saturday,6,Saturday,26.12482742,0
194,85,0,2,393,1314,0,0,1,0,Friday,17,Friday,26.79735913,0
195,28,0,2,571,451,0,0,1,0,Thursday,18,Thursday,12.95747041,1
196,24,0,2,1390,393,0,0,0,0,Thursday,18,Thursday,26.59314375,0
197,12,0,2,201,393,0,0,0,0,Friday,18,Friday,21.48233866,0
198,65,0,2,571,393,0,0,1,0,Friday,23,Friday,27.59830194,0
199,12,0,2,24,849,0,0,0,0,Thursday,21,Thursday,8.795866726,0
200,65,0,2,571,393,0,0,1,0,Friday,22,Friday,27.59830194,0
201,12,0,2,1286,393,0,0,0,0,Friday,8,Friday,26.86360549,0
202,12,0,2,571,585,0,0,1,0,Thursday,23,Thursday,13.70509547,0
203,12,0,1,1323,0,15,131,0,0,Saturday,6,Saturday,0,0
204,12,0,2,463,393,0,0,0,0,Friday,5,Friday,29.90537164,0
205,12,0,2,104,271,0,0,0,0,Friday,8,Friday,10.64247497,0
206,12,2,3,1084,0,0,0,0,0,Friday,11,Friday,0,0
207,12,0,2,293,393,0,0,1,0,Friday,10,Friday,39.25760818,0
208,12,0,2,1181,1038,0,0,0,0,Friday,10,Friday,3.944709453,0
209,12,1,3,117,0,0,0,0,0,Friday,11,Friday,0,0
210,28,0,2,95,393,0,0,1,0,Friday,18,Friday,26.84018994,0
211,28,1,3,601,0,0,0,1,0,Friday,12,Friday,0,0
212,12,0,2,849,393,0,0,1,0,Friday,19,Friday,29.62562956,0
213,28,2,3,540,0,0,0,1,0,Friday,12,Friday,0,0
214,12,0,2,1192,51,0,0,0,0,Friday,22,Friday,4.814087131,0
215,12,0,2,1237,1384,0,0,1,0,Friday,19,Friday,13.41984219,0
216,12,0,2,492,667,0,0,0,0,Friday,18,Friday,13.43816254,0
217,28,0,2,243,484,0,0,0,0,Friday,23,Friday,45.44766587,0
218,12,0,2,450,393,0,0,0,0,Saturday,6,Saturday,30.88368286,0
219,12,0,2,393,58,0,0,0,0,Friday,15,Friday,36.35534143,0
220,12,0,1,1063,0,15,146,0,0,Saturday,12,Saturday,0,0
221,12,0,2,83,393,0,0,1,0,Saturday,16,Saturday,30.88713979,0
222,65,0,2,693,393,0,0,0,0,Friday,22,Friday,34.24944518,0
223,65,2,3,693,0,0,0,0,0,Friday,22,Friday,0,0
224,12,1,3,784,0,0,0,0,0,Friday,16,Friday,0,0
225,12,0,2,1286,1133,0,0,0,0,Friday,23,Friday,7.757978539,0
226,12,0,2,1239,571,0,0,0,0,Friday,23,Friday,8.6514672,0
227,12,0,2,264,1192,0,0,0,0,Saturday,21,Saturday,15.40401134,0
228,12,0,2,502,25,0,0,0,0,Friday,20,Friday,8.942738865,0
229,12,0,2,419,393,0,0,0,0,Sunday,7,Sunday,29.35128025,0
230,12,0,2,450,393,0,0,0,0,Saturday,16,Saturday,30.88368286,0
231,12,0,2,271,105,0,0,1,0,Friday,22,Friday,6.834041279,0
232,12,0,2,1095,572,0,0,0,0,Friday,21,Friday,6.251700839,0
233,12,0,2,667,585,0,0,0,0,Saturday,4,Saturday,6.483866031,0
234,12,0,2,1010,1189,0,0,0,0,Saturday,7,Saturday,15.53738555,0
235,12,0,2,141,1333,0,0,0,0,Friday,23,Friday,8.51459991,0
236,28,1,3,515,0,0,0,1,0,Saturday,10,Saturday,0,0
237,12,0,1,1058,0,15,29,0,0,Saturday,12,Saturday,0,0
238,12,0,2,414,763,0,0,0,0,Saturday,1,Saturday,5.034026611,0
239,12,0,2,934,393,0,0,0,0,Saturday,9,Saturday,33.1865222,0
240,28,0,2,1064,1084,0,0,0,0,Saturday,6,Saturday,11.28768594,0
241,28,0,2,1147,393,0,0,1,0,Saturday,16,Saturday,19.82008445,0
242,12,2,3,1147,0,0,0,0,0,Saturday,16,Saturday,0,0
243,12,0,2,936,1017,0,0,0,0,Saturday,12,Saturday,15.53322975,0
244,65,2,3,136,0,0,0,0,0,Sunday,9,Sunday,0,0
245,12,0,1,466,0,15,29,0,0,Saturday,14,Saturday,0,0
246,12,1,3,767,0,0,0,0,0,Saturday,14,Saturday,0,0
247,12,0,2,1237,330,0,0,0,0,Saturday,17,Saturday,7.927800969,0
248,65,0,2,542,585,0,0,0,0,Saturday,18,Saturday,6.932018033,0
249,28,0,2,1262,393,0,0,0,0,Sunday,6,Sunday,42.79356689,0
250,28,0,2,559,393,0,0,0,0,Saturday,23,Saturday,27.96180484,0
251,12,1,3,58,0,0,0,1,0,Sunday,9,Sunday,0,0
252,12,0,2,455,571,0,0,0,0,Saturday,19,Saturday,5.702684128,0
253,65,0,1,344,0,15,108,0,0,Monday,7,Monday,0,0
254,12,0,2,1017,1147,0,0,0,0,Sunday,4,Sunday,10.35399169,0
255,12,1,3,1280,0,0,0,1,0,Sunday,5,Sunday,0,0
256,12,0,2,167,1017,0,0,0,0,Sunday,0,Sunday,13.47075591,0
257,12,2,3,112,0,0,0,0,0,Saturday,21,Saturday,0,0
258,12,0,2,1089,393,0,0,0,0,Sunday,3,Sunday,22.90424567,0
259,12,0,2,142,484,0,0,1,0,Sunday,7,Sunday,13.79207729,0
260,12,0,2,572,142,0,0,0,0,Sunday,6,Sunday,0.904512816,0
261,54,0,1,1237,0,15,32,0,0,Sunday,6,Sunday,0,0
262,12,0,2,767,1234,0,0,1,0,Sunday,11,Sunday,11.33458449,0
263,87,2,3,1010,0,0,0,0,0,Sunday,11,Sunday,0,0
264,12,0,2,393,1192,0,0,1,0,Sunday,19,Sunday,28.75331927,0
265,12,0,2,136,393,0,0,0,0,Sunday,10,Sunday,33.6768886,0
266,12,0,2,396,393,0,0,0,0,Sunday,11,Sunday,31.37256465,0
267,12,0,2,1388,393,0,0,1,0,Monday,6,Monday,33.51769447,0
268,65,2,3,1054,0,0,0,0,0,Sunday,12,Sunday,0,0
269,12,0,1,1173,0,15,32,0,0,Sunday,11,Sunday,0,0
270,65,2,3,974,0,0,0,0,0,Sunday,13,Sunday,0,0
271,12,2,3,768,0,0,0,0,0,Sunday,12,Sunday,0,0
272,85,0,2,376,393,0,0,0,0,Sunday,23,Sunday,33.44938359,0
273,12,0,2,1384,1189,0,0,0,0,Monday,7,Monday,14.3150919,0
274,12,0,2,142,214,0,0,0,0,Sunday,14,Sunday,7.725100027,0
275,12,0,2,150,393,0,0,0,0,Sunday,16,Sunday,35.2350005,0
276,65,0,2,393,1338,0,0,0,0,Monday,3,Monday,24.20900394,0
277,28,1,3,355,0,0,0,1,0,Sunday,18,Sunday,0,0
278,12,0,2,571,393,0,0,0,0,Sunday,22,Sunday,27.59830194,0
279,12,0,2,393,1264,0,0,0,0,Sunday,20,Sunday,40.60858085,0
280,12,0,2,793,393,0,0,0,0,Monday,7,Monday,23.15856185,0
281,12,0,2,142,293,0,0,0,0,Sunday,19,Sunday,9.164185936,0
282,12,0,2,1096,1021,0,0,0,0,Monday,6,Monday,20.0530421,0
283,12,0,2,667,393,0,0,0,0,Monday,6,Monday,32.93757605,0
284,12,0,2,767,1384,0,0,1,0,Monday,17,Monday,13.52022815,1
285,87,2,3,105,0,0,0,0,0,Monday,3,Monday,0,0
286,12,0,2,344,293,0,0,0,0,Monday,8,Monday,10.98572246,0
287,12,0,2,559,393,0,0,0,0,Monday,10,Monday,27.96180484,0
288,12,0,2,455,117,0,0,0,0,Monday,9,Monday,15.50590884,0
289,12,0,2,1281,1026,0,0,0,0,Monday,0,Monday,19.32103045,0
290,12,0,2,393,1257,0,0,1,0,Tuesday,0,Tuesday,31.27674277,0
291,28,0,2,393,995,0,0,0,0,Tuesday,22,Tuesday,30.92469638,0
292,12,0,2,1281,293,0,0,0,0,Tuesday,6,Tuesday,11.02613964,0
293,12,0,2,393,1250,0,0,0,0,Wednesday,23,Wednesday,25.8023853,0
294,12,0,2,293,585,0,0,0,0,Monday,18,Monday,17.23881496,0
295,87,0,1,105,0,15,32,0,0,Tuesday,1,Tuesday,0,0
296,12,1,3,571,0,0,0,0,0,Monday,18,Monday,0,0
297,12,0,2,52,451,0,0,1,0,Tuesday,5,Tuesday,5.210031251,0
298,12,0,2,1371,1330,0,0,1,0,Tuesday,6,Tuesday,6.257914529,0
299,12,0,2,1054,1365,0,0,1,0,Tuesday,8,Tuesday,12.18289795,0
300,12,0,2,58,393,0,0,0,0,Tuesday,3,Tuesday,36.35534143,0
301,12,0,2,433,784,0,0,0,0,Tuesday,7,Tuesday,6.105212744,0
302,65,2,3,1085,0,0,0,0,0,Tuesday,10,Tuesday,0,0
303,85,0,2,410,393,0,0,0,0,Tuesday,14,Tuesday,24.40518188,0
304,12,0,2,1096,209,0,0,1,0,Tuesday,16,Tuesday,9.830647894,0
305,12,0,2,463,484,0,0,1,0,Wednesday,5,Wednesday,12.61940633,0
306,65,0,2,292,393,0,0,0,0,Tuesday,16,Tuesday,30.15582824,0
307,12,0,2,1010,353,0,0,0,0,Tuesday,21,Tuesday,17.84991869,0
308,12,0,2,1084,1384,0,0,0,0,Tuesday,17,Tuesday,15.61103053,0
309,12,0,2,1384,571,0,0,0,0,Wednesday,5,Wednesday,18.3901208,0
310,85,0,2,136,115,0,0,0,0,Tuesday,19,Tuesday,12.81913327,0
311,12,0,2,1017,243,0,0,0,0,Tuesday,18,Tuesday,18.89212811,0
312,12,0,2,1010,1282,0,0,0,0,Wednesday,2,Wednesday,0.840324938,0
313,12,0,2,949,393,0,0,1,0,Wednesday,5,Wednesday,26.07663015,0
314,12,0,2,1021,142,0,0,0,0,Wednesday,7,Wednesday,14.58149946,0
315,12,0,2,767,585,0,0,0,0,Wednesday,6,Wednesday,9.864367381,0
316,12,0,2,1056,1010,0,0,0,0,Wednesday,8,Wednesday,16.09470952,0
317,12,0,2,393,515,0,0,1,0,Wednesday,12,Wednesday,24.82318074,0
318,12,0,2,1095,455,0,0,0,0,Wednesday,23,Wednesday,8.453260471,0
319,85,2,3,466,0,0,0,0,0,Wednesday,12,Wednesday,0,0
320,12,0,2,832,393,0,0,0,0,Wednesday,12,Wednesday,36.16835913,0
321,12,0,2,767,585,0,0,1,0,Thursday,16,Thursday,9.864367381,0
322,12,0,2,450,393,0,0,1,0,Thursday,4,Thursday,30.88368286,0
323,12,0,2,1323,1189,0,0,0,0,Wednesday,17,Wednesday,6.84899733,0
324,85,1,3,83,0,0,0,0,0,Wednesday,18,Wednesday,0,0
325,12,0,2,458,1063,0,0,0,0,Wednesday,21,Wednesday,14.58207584,0
326,24,0,2,393,149,0,0,0,0,Thursday,21,Thursday,33.9308967,0
327,12,0,2,1082,238,0,0,0,0,Thursday,7,Thursday,7.882932059,0
328,12,0,2,1244,168,0,0,0,0,Friday,5,Friday,10.21518864,0
329,24,0,2,570,293,0,0,1,0,Thursday,12,Thursday,13.68452425,0
330,12,0,2,1147,393,0,0,0,0,Thursday,6,Thursday,19.82008445,0
331,12,0,2,452,58,0,0,0,0,Thursday,6,Thursday,7.118282033,0
332,12,0,2,393,87,0,0,0,0,Thursday,10,Thursday,27.76939057,0
333,12,0,2,393,1041,0,0,1,0,Thursday,21,Thursday,25.47574996,0
334,12,0,2,1328,499,0,0,0,0,Thursday,15,Thursday,7.68985807,0
335,12,0,2,396,1021,0,0,0,0,Thursday,12,Thursday,17.59096284,0
336,12,0,2,396,1021,0,0,0,0,Thursday,12,Thursday,17.59096284,0
337,12,0,2,1010,571,0,0,0,0,Thursday,10,Thursday,5.981800877,0
338,12,0,2,793,393,0,0,0,0,Friday,0,Friday,23.15856185,0
339,12,0,2,1106,393,0,0,0,0,Thursday,13,Thursday,33.31149792,0
340,12,0,2,1237,458,0,0,0,0,Thursday,15,Thursday,14.98114071,0
341,12,0,2,571,160,0,0,1,0,Saturday,9,Saturday,20.32069124,0
342,12,2,3,590,0,0,0,0,0,Thursday,13,Thursday,0,0
343,28,1,3,585,0,0,0,0,0,Thursday,18,Thursday,0,0
344,24,0,2,1010,393,0,0,0,0,Thursday,18,Thursday,26.30473585,0
345,12,0,2,1371,117,0,0,1,0,Friday,6,Friday,15.44003357,0
346,12,0,2,1133,767,0,0,0,0,Thursday,19,Thursday,20.86282581,0
